clean_sheets,clean_sheets_away,clean_sheets_home,cs_pct,cs_pct_away,cs_pct_home,defense_overperform,defense_profile,friction_base,ga_0_15,ga_16_30,ga_1h,ga_2h,ga_31_45,ga_46_60,ga_61_75,ga_76_90,ga_away,ga_corner,ga_free_kick,ga_home,ga_leading_1,ga_leading_2plus,ga_level,ga_losing_1,ga_losing_2plus,ga_open_play,ga_outside_box,ga_penalty,ga_penalty_area,ga_per_90,ga_per_90_away,ga_per_90_home,ga_set_piece,ga_set_piece_total,ga_six_yard,ga_total,home_away_defense_profile,league,matches_away,matches_home,matches_played,scraped_at,season,set_piece_profile,set_piece_vuln_pct,shots_ag_0_15,shots_ag_16_30,shots_ag_31_45,shots_ag_46_60,shots_ag_61_75,shots_ag_76_90,shots_ag_outside_box,shots_ag_penalty_area,shots_ag_six_yard,team_name,team_understat,timing_profile,xga_0_15,xga_16_30,xga_1h,xga_1h_pct,xga_2h,xga_2h_pct,xga_31_45,xga_46_60,xga_61_75,xga_76_90,xga_away,xga_corner,xga_first_15_pct,xga_free_kick,xga_home,xga_last_15_pct,xga_leading_1,xga_leading_2plus,xga_level,xga_losing_1,xga_losing_2plus,xga_open_play,xga_outside_box,xga_penalty,xga_penalty_area,xga_per_90,xga_per_90_away,xga_per_90_home,xga_set_piece,xga_set_piece_total,xga_six_yard,xga_total,xga_total_timing
4,1,3,25.0,12.5,37.5,4.130167,AVERAGE,0.5,5,4,14,2,5,1,1,0,15,4,0,5,4,3,9,3,1,12,2,3,15,1.25,1.875,0.625,1,5,3,20,HOME_FORTRESS,La_Liga,8,8,16,2025-12-08T19:16:59.023684,2025/2026,SP_SOLID,22.02439266104625,19,19,26,24,26,0,28,113,9,Barcelona,Barcelona,SLOW_STARTER+FIRST_HALF_WEAK,4.752438871189952,4.510793983004987,13.414066811092198,71.14807193108436,5.439665197394788,28.851928068915633,4.150833956897259,3.5852919472381473,1.854373250156641,0,16.10047,3.894793413579464,25.206886726992018,0.10066211223602295,8.029697,0.0,4.228368335403502,3.894329464994371,10.604999183677137,5.340702937915921,0.5953553467988968,16.258602526038885,0.8250411190092564,2.9731104373931885,19.77210952807218,1.5081354375,2.01255875,1.003712125,1.4365867795422673,5.432042305357754,4.066604621708393,24.130167,18.853732008486986
2,2,0,13.333333333333334,28.57142857142857,0.0,4.7650779999999955,AVERAGE,0.5,3,1,8,8,4,3,5,0,7,5,0,12,5,0,12,2,0,12,0,2,14,1.2666666666666666,1.0,1.5,0,5,4,19,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:16:59.767509,2025/2026,SP_SOLID,19.191678783460738,27,21,36,28,36,0,68,110,11,Celta Vigo,Celta_Vigo,FIRST_HALF_WEAK,3.9917519092559814,1.9461616519838572,12.248122490011156,58.158270686023094,8.811861490830779,41.8417293139769,6.310208928771317,2.887434985488653,5.924426505342126,0,12.292354,3.427118258550763,18.95420202070068,0.38359077274799347,11.472723999999998,0.0,5.322930643334985,0.0,16.071421121247113,3.438488910906017,0.6408601654693484,16.868609866127372,2.026488460600376,3.7162601351737976,18.649889177642763,1.584338533333333,1.7560505714285715,1.4340904999999997,1.0781218083575368,4.888830839656293,3.797323202714324,23.765077999999995,21.059983980841935
4,0,4,26.666666666666668,0.0,50.0,5.773785,AVERAGE,0.5,4,3,7,4,0,3,1,0,12,1,0,5,5,0,8,4,0,13,4,2,9,1.1333333333333333,1.7142857142857142,0.625,1,2,4,17,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:17:00.463803,2025/2026,SP_SOLID,16.650280547122918,30,20,34,37,29,0,67,107,16,Elche,Elche,SLOW_STARTER+FIRST_HALF_WEAK,3.8653378784656525,2.4357559410855174,9.2956657060422,58.05084420550606,6.717306772246957,41.94915579449395,2.9945718864910305,3.1981888860464096,3.519117886200547,0,11.905037,1.5390239031985402,24.138790494434357,0.2850988321006298,10.868748,0.0,4.375317662023008,0.7391360895708203,11.034236883278936,5.644023450091481,1.0034358762204647,17.51397182000801,2.2281402121298015,1.4865552186965942,14.606746532022953,1.5182523333333333,1.7007195714285714,1.3585935,1.9715001871809363,3.7956229224801064,5.961263217031956,22.773785,16.012972478289157
6,3,3,40.0,50.0,33.33333333333333,4.421786999999998,AVERAGE,0.5,2,1,7,8,4,4,4,0,6,2,1,10,3,3,7,3,0,12,4,1,9,1.0666666666666667,1.0,1.1111111111111112,0,3,3,16,BALANCED_DEFENSE,La_Liga,6,9,15,2025-12-08T19:17:01.214674,2025/2026,SP_SOLID,16.241412053379157,25,25,28,34,37,0,72,109,14,Espanyol,Espanyol,CONSISTENT,3.1468247808516026,1.3918190877884626,7.101441257633269,42.81064280356096,9.486586374230683,57.18935719643904,2.5627973889932036,4.724382588639855,4.7622037855908275,0,8.599132,2.4951677564531565,18.970457794553376,0.7191260941326618,11.822655,0.0,5.5666348822414875,1.1040431261062622,7.8882905868813396,4.216659307479858,1.9940088344737887,16.653076843358576,2.7332269959151745,0.7432776093482971,13.69266976416111,1.3614524666666665,1.4331886666666669,1.3136283333333332,0.1589884338900447,3.373282284475863,4.343739977106452,20.421787,16.58802763186395
4,2,2,26.666666666666668,25.0,28.57142857142857,0.7311689999999977,SOLID,0.7,2,2,6,6,2,3,3,0,12,3,0,5,3,1,8,3,2,12,3,1,10,1.1333333333333333,1.5,0.7142857142857143,1,4,2,17,BALANCED_DEFENSE,La_Liga,8,7,15,2025-12-08T19:17:01.981641,2025/2026,SP_SOLID,18.168700133633763,20,17,20,27,38,0,56,90,9,Getafe,Getafe,FIRST_HALF_WEAK,2.898409322835505,2.3431634278967977,8.81246216967702,58.69979092052836,6.20030368771404,41.30020907947164,3.5708894189447165,1.9572634976357222,4.243040190078318,0,9.255993,2.742846980690956,19.306298055721456,0.5524281673133373,8.475176,0.0,3.5974694192409515,1.070604425854981,8.907144358381629,3.9140896294265985,2.5111179035156965,15.623330749571323,2.326086794026196,0.7432776093482971,12.803749972954392,1.182077933333333,1.156999125,1.2107394285714286,0.3385422294959426,3.633817377500236,2.870588969439268,17.731168999999998,15.01276585739106
2,0,2,13.333333333333334,0.0,25.0,3.7996459999999956,SIEVE,0.1,3,5,12,12,4,7,5,0,15,4,1,14,6,0,9,7,7,19,3,4,18,1.9333333333333333,2.142857142857143,1.75,1,6,8,29,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:17:02.716073,2025/2026,SP_SOLID,21.948182375440755,38,30,47,56,44,0,92,146,24,Girona,Girona,CONSISTENT,2.8794975662603974,4.003582984209061,12.8168083447963,50.25801003308851,12.685212798416615,49.74198996691149,5.933727794326842,6.354379590600729,6.3308332078158855,0,13.801379999999998,5.280177214182913,11.291252368154924,0.4902459569275379,18.998266,0.0,8.730219030752778,0,12.383178879506886,3.2709155585616827,8.725207189098,22.86947224289179,3.0093112709000707,2.9731104373931885,20.15978261269629,2.1866430666666665,1.971625714285714,2.37478325,1.496514806523919,7.26693797763437,9.940426774322987,32.799645999999996,25.502021143212914
2,2,0,14.285714285714285,25.0,0.0,2.067181999999999,SIEVE,0.1,3,2,10,9,5,6,3,0,10,6,0,16,4,2,12,6,2,18,4,1,13,1.8571428571428572,1.25,2.6666666666666665,1,7,7,26,AWAY_VULNERABLE,La_Liga,8,6,14,2025-12-08T19:17:03.445094,2025/2026,SP_SOLID,15.88005639938046,34,30,44,43,39,0,79,148,15,Levante,Levante,CONSISTENT,4.218424208462238,3.76922520250082,12.538112456910312,56.7512734040601,9.554982032161206,43.2487265959399,4.550463045947254,4.263899756595492,5.291082275565714,0,12.062732,3.768770096823573,19.093858538236493,0.21091270446777344,16.004450000000002,0.0,5.445790426805615,0.7947114165872335,13.854167148005217,4.617850259877741,5.802875874564052,24.926255560014397,2.8505037291906774,0.7432776093482971,18.647181239910424,2.004798714285714,1.5078415,2.667408333333334,0.8661791551858187,4.845861956477165,7.017710156738758,28.067182,22.093094489071518
3,1,2,20.0,12.5,28.57142857142857,4.999162000000002,LEAKY,0.3,5,3,14,1,6,1,0,0,14,2,1,8,2,1,14,3,2,17,5,2,9,1.4666666666666666,1.75,1.1428571428571428,0,3,8,22,HOME_FORTRESS,La_Liga,8,7,15,2025-12-08T19:17:04.173889,2025/2026,SP_SOLID,15.079895832786857,31,29,35,44,29,0,88,106,21,Mallorca,Mallorca,CONSISTENT,4.21254897210747,3.124515362083912,11.828941309824586,56.834129234640585,8.984153689816594,43.165870765359415,4.491876975633204,4.726406494155526,4.257747195661068,0,17.394660000000002,3.113995826803148,20.23989691192057,0.285177331417799,9.604502,0.0,2.229281914420426,0.29029686003923416,15.247412239201367,5.146265050396323,4.15879481844604,20.759780981577933,3.147126879543066,2.2298328280448914,15.287262041121721,1.7999441333333335,2.1743325000000002,1.3720717142857144,0.6832639146596193,4.082437072880566,8.637661961838603,26.999162000000002,20.81309499964118
3,1,2,21.428571428571427,12.5,33.33333333333333,1.6240510000000015,AVERAGE,0.5,0,3,4,10,1,5,5,0,10,1,0,8,4,0,11,3,0,14,4,3,12,1.2857142857142858,1.25,1.3333333333333333,0,1,2,18,BALANCED_DEFENSE,La_Liga,8,6,14,2025-12-08T19:17:04.879792,2025/2026,SP_SOLID,15.450308012339425,25,27,26,41,26,0,75,94,11,Osasuna,Osasuna,CONSISTENT,2.5880046896636486,2.1565614049322903,7.000927657354623,42.9681633045989,9.292362813837826,57.031836695401104,2.256361562758684,4.975988917984068,4.316373895853758,0,12.841902999999999,2.157847261056304,15.88386762170233,0.15908712521195412,6.782148,0.0,4.48614159738645,0.3727054735645652,12.192484010010958,2.0209914837032557,0.5613480675965548,14.370375217404217,2.353997249621898,2.2298328280448914,14.242278419435024,1.4017179285714287,1.6052378749999998,1.130358,0.7165282005444169,3.033462586812675,3.0373949632048607,19.624051,16.29329047119245
5,3,2,33.33333333333333,33.33333333333333,33.33333333333333,6.709500000000002,AVERAGE,0.5,2,1,5,7,2,4,3,0,12,2,0,4,2,1,9,2,2,11,3,3,11,1.0666666666666667,1.3333333333333333,0.6666666666666666,0,2,2,16,BALANCED_DEFENSE,La_Liga,9,6,15,2025-12-08T19:17:05.609797,2025/2026,SP_SOLID,15.444664382769414,21,22,17,38,27,0,68,95,12,Rayo Vallecano,Rayo_Vallecano,CONSISTENT,3.5301667861640453,1.4271979657933116,7.477453159168363,43.62813978100478,9.661607082001865,56.37186021899522,2.5200884072110057,5.9614013358950615,3.7002057461068034,0,15.336627000000002,2.176978358067572,20.597201576339234,0.46602538973093033,7.372872999999999,0.0,1.910475019365549,1.735812969505787,14.06932108849287,3.9069045539945364,1.3971999548375607,17.23456325288862,2.4846561290323734,2.2298328280448914,15.839706180617213,1.513966666666667,1.7040696666666668,1.2288121666666665,0.9123137574642897,3.555317505262792,4.695351276546717,22.709500000000002,17.139060241170228
4,1,3,26.666666666666668,14.285714285714285,37.5,-0.1986169999999987,SOLID,0.7,7,2,12,4,3,3,1,0,8,5,0,11,5,0,7,5,2,13,4,1,13,1.2666666666666666,1.1428571428571428,1.375,0,5,1,19,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:17:06.376603,2025/2026,SP_SOLID,21.870172967032676,19,30,30,34,19,0,61,99,11,Real Betis,Real_Betis,FIRST_HALF_WEAK,3.2447355706244707,3.0214007711037993,9.029035447631031,58.5601609703837,6.389357019215822,41.4398390296163,2.762899105902761,4.076174570247531,2.3131824489682913,0,8.648119,3.4372118040919304,21.044577621184636,0.3269987627863884,10.153264,0.0,4.503659239970148,1.5285712447948754,7.545469826087356,4.161992984823883,2.1527574378997087,14.055382132064551,1.9134297329001129,1.4865552186965942,14.12777063716203,1.2534255333333335,1.2354455714285713,1.269158,0.5863028159365058,4.350513382814825,2.8512503635138273,18.801383,15.418392466846853
7,4,3,43.75,44.44444444444444,42.857142857142854,4.380503999999998,SOLID,0.7,1,1,4,8,2,6,2,0,10,1,1,5,2,3,7,2,1,10,3,2,8,0.9375,1.1111111111111112,0.7142857142857143,1,3,4,15,HOME_FORTRESS,La_Liga,9,7,16,2025-12-08T19:17:07.141025,2025/2026,SP_SOLID,22.34721519255375,19,22,21,31,27,0,66,82,13,Real Madrid,Real_Madrid,SECOND_HALF_WEAK,1.7853920683264732,1.6952629229053855,6.427660099230707,41.34516246621118,9.118681276217103,58.654837533788815,2.947005107998848,5.941397082991898,3.177284193225205,0,13.677904,1.4252590890973806,11.484323064886032,0.23349103331565857,5.7026,0.0,6.037355111911893,3.194433324970305,7.708368202671409,2.260825065895915,0.3086604829877615,13.663225246593356,2.2930921399965882,1.4865552186965942,11.896499659866095,1.2112815,1.519767111111111,0.8146571428571429,2.7011116007342935,4.359861723147333,5.3200503885746,19.380504,15.54634137544781
4,0,4,26.666666666666668,0.0,50.0,5.222707,LEAKY,0.3,3,4,9,7,2,3,4,0,12,5,0,10,2,1,11,7,1,14,2,2,13,1.4666666666666666,1.7142857142857142,1.25,1,6,7,22,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:17:07.843998,2025/2026,SP_SOLID,20.451350256544547,39,37,47,52,31,0,93,131,19,Real Oviedo,Real_Oviedo,CONSISTENT,4.701645319350064,2.805440994910896,11.672684452496469,50.676394362881716,11.361086199991405,49.32360563711828,4.165598138235509,5.705100645311177,5.655985554680228,0,14.159496999999998,4.550101386383176,20.4119655018022,0.21909471973776817,13.063209999999998,0.0,1.8037166530266404,1.06256303191185,14.097933625802398,8.167673226445913,2.3795813573524356,19.655168406665325,3.058487953618169,2.2298328280448914,16.34035998955369,1.8148471333333334,2.0227852857142854,1.6329012499999997,0.8572705537080765,5.6264666598290205,8.112619951367378,27.222707,23.033770652487874
1,0,1,6.666666666666667,0.0,14.285714285714285,-0.9703189999999999,AVERAGE,0.5,3,3,12,7,6,6,1,0,11,4,0,11,4,0,14,4,0,13,3,2,13,1.4666666666666666,1.375,1.5714285714285714,3,7,5,22,BALANCED_DEFENSE,La_Liga,8,7,15,2025-12-08T19:17:08.583050,2025/2026,SP_SOLID,24.582752843285522,22,37,22,34,31,0,71,101,12,Real Sociedad,Real_Sociedad,CONSISTENT,2.3044628258794546,3.215435485355556,8.940665137954056,51.28657235827393,8.492094991728663,48.71342764172607,3.4207668267190456,5.1650885958224535,3.32700639590621,0,12.281343999999999,3.582110555842519,13.219150660804718,0.3399970456957817,8.748337,0.0,2.8721230337396264,0.17782892100512981,10.590563486330211,7.676657917909324,1.2122208215296268,15.504493673332036,2.950141543522477,1.4865552186965942,12.703370499424636,1.4019787333333333,1.5351679999999999,1.2497624285714284,1.616237686946988,5.538345288485289,5.875882137566805,21.029681,17.43276012968272
3,2,1,20.0,25.0,14.285714285714285,1.6211599999999997,LEAKY,0.3,1,3,7,10,3,5,5,0,12,1,1,12,4,1,13,5,1,17,4,4,19,1.6,1.5,1.7142857142857142,1,3,1,24,BALANCED_DEFENSE,La_Liga,8,7,15,2025-12-08T19:17:09.264859,2025/2026,SP_FORTRESS,12.902992384632029,17,24,23,35,32,0,45,115,6,Sevilla,Sevilla,CONSISTENT,1.9862142773345113,3.3409187691286206,8.924145098775625,44.78589716952525,11.002094326540828,55.21410283047475,3.5970120523124933,6.076774195767939,4.925320130772889,0,14.521527,1.9708261461928487,9.967833041346525,0.31395527347922325,11.099633,0.0,7.71140977460891,1.698280674405396,11.811310875229537,3.4513586945831776,1.307700302451849,18.911467069759965,1.8681342555209994,3.7163880467414856,21.214133659377694,1.7080773333333332,1.815190875,1.5856618571428573,1.0674237851053476,3.3522052047774196,2.8977924063801765,25.62116,19.926239425316453
4,1,3,26.666666666666668,14.285714285714285,37.5,0.7987850000000023,AVERAGE,0.5,1,4,8,10,3,6,4,0,16,3,0,7,4,0,10,3,6,16,4,2,12,1.5333333333333334,2.2857142857142856,0.875,2,5,6,23,HOME_FORTRESS,La_Liga,7,8,15,2025-12-08T19:17:09.989609,2025/2026,SP_VULNERABLE,26.636862436478765,30,35,33,32,35,0,71,107,17,Valencia,Valencia,CONSISTENT,2.5632431730628014,4.627951582893729,12.018354157917202,57.09316919322123,9.032069785520434,42.90683080677877,4.827159401960671,4.762466484680772,4.2696033008396626,0,14.973128,3.8077177982777357,12.176681951632997,0.43890586867928505,8.825657,0.0,4.930707979016006,0.6133740870282054,12.774455385282636,3.641859719529748,4.130144514143467,16.911007159389555,2.648289965465665,2.2298328280448914,15.686526969075203,1.586585666666667,2.1390182857142856,1.103207125,2.7030780306085944,6.949701697565615,6.755724750459194,23.798785000000002,21.050423943437636
7,2,5,46.666666666666664,28.57142857142857,62.5,5.198916000000004,SOLID,0.7,2,0,2,7,0,5,2,0,9,0,1,4,5,2,3,3,0,10,3,2,9,0.8666666666666667,1.2857142857142858,0.5,0,1,1,13,BALANCED_DEFENSE,La_Liga,7,8,15,2025-12-08T19:17:10.725483,2025/2026,SP_VULNERABLE,26.5915394506383,28,36,28,28,22,0,73,98,12,Villarreal,Villarreal,SLOW_STARTER+FIRST_HALF_WEAK,3.2021668078377843,3.988278953358531,8.935008648317307,65.0266614436487,4.805522466078401,34.973338556351294,1.744562887120992,2.7538276137784123,2.0516948522999883,0,10.035263,1.2595658954232931,23.304534454879487,0.5387087427079678,8.163653,0.0,3.655519221909344,1.355016401503235,9.913129679858685,2.8158336523920298,0.9336201352998614,11.477816433180124,2.0801880746148527,2.2298328280448914,11.564769758842885,1.213261066666667,1.4336090000000001,1.020456625,3.1671951916068792,4.96546982973814,5.028161257505417,18.198916000000004,13.740531114395708
2,0,2,15.384615384615385,0.0,28.57142857142857,-2.7883299999999984,LEAKY,0.3,3,6,14,11,5,7,4,0,12,1,1,15,4,2,8,5,8,22,3,2,22,2.076923076923077,2.0,2.142857142857143,1,3,1,27,BALANCED_DEFENSE,Bundesliga,6,7,13,2025-12-08T19:17:12.058336,2025/2026,SP_SOLID,16.242480297508795,29,22,31,35,25,0,51,120,13,Augsburg,Augsburg,FIRST_HALF_WEAK,2.345232689753175,5.059545759111643,13.406079339794815,60.18495284042148,8.868723093532026,39.81504715957852,6.001300890929997,5.672013711184263,3.1967093823477626,0,10.783664,2.425784925930202,10.528635200123317,0.39222750440239906,13.428006,0.0,3.6059405766427517,3.5854537449777126,7.371044639497995,5.011562963947654,6.280264997854829,19.381643085740507,2.043341686949134,2.273249626159668,19.970566591247916,1.862436153846154,1.7972773333333334,1.9182865714285715,1.3813617806881666,4.199374211020768,2.840358644723892,24.21167,22.27480243332684
3,0,3,23.076923076923077,0.0,42.857142857142854,-2.1712450000000025,AVERAGE,0.5,1,4,10,6,5,3,3,0,13,5,0,6,4,7,4,3,1,11,2,2,13,1.4615384615384615,2.1666666666666665,0.8571428571428571,1,6,3,19,HOME_FORTRESS,Bundesliga,6,7,13,2025-12-08T19:17:12.785525,2025/2026,SP_VULNERABLE,28.770485789848316,23,22,20,31,26,0,55,86,12,Bayer Leverkusen,Bayer_Leverkusen,CONSISTENT,2.185869885608554,2.6089117424562573,8.591824349015951,56.45446107754666,6.62721093185246,43.54553892245334,3.79704272095114,3.330095626413822,3.2971153054386377,0,11.273625000000003,4.245271951891482,14.36273617393064,0.33097801357507706,5.55513,0.0,3.4812612025998533,5.176070268731564,3.6528264498338103,1.9686130359768867,3.5531526124104857,11.186039177700877,1.9506554175168276,1.51555335521698,11.674547092057765,1.2945196153846152,1.8789375000000004,0.79359,0.5540810711681843,5.130331036634743,3.2067210599780083,16.828754999999997,15.219035280868411
7,3,4,53.84615384615385,50.0,57.14285714285714,0.04882799999999854,FORTRESS,0.9,2,2,4,2,0,1,1,0,5,3,1,4,0,4,4,1,0,3,1,0,5,0.6923076923076923,0.8333333333333334,0.5714285714285714,2,6,3,9,BALANCED_DEFENSE,Bundesliga,6,7,13,2025-12-08T19:17:13.518560,2025/2026,SP_VULNERABLE,34.047430467873134,17,21,13,29,15,0,42,68,6,Bayern Munich,Bayern_Munich,SLOW_STARTER,1.6621888652443886,1.3417863147333264,3.671372212469578,51.59226431774028,3.4447570387274027,48.40773568225973,0.6673970324918628,1.9521883837878704,1.4925686549395323,0,4.618196,1.384738544933498,23.358047705004758,0.16164454445242882,4.430631999999999,0.0,2.0685566598549485,3.747716612648219,2.8112649749964476,0.42617646884173155,0.0,5.213380815926939,1.1369993942789733,0.75777667760849,5.936784273013473,0.6960636923076922,0.7696993333333334,0.6329474285714285,1.5361741334199905,3.0825572228059173,1.9799310490489006,9.048827999999999,7.1161292511969805
7,3,4,53.84615384615385,42.857142857142854,66.66666666666666,3.610167999999998,SOLID,0.7,1,1,2,3,0,2,1,0,7,2,0,4,5,3,2,1,0,7,1,1,6,0.8461538461538461,1.0,0.6666666666666666,1,3,4,11,BALANCED_DEFENSE,Bundesliga,7,6,13,2025-12-08T19:17:14.206898,2025/2026,SP_VULNERABLE,32.6039714680466,17,17,22,26,26,0,43,82,12,Borussia Dortmund,Borussia_Dortmund,CONSISTENT,1.6307262387126684,2.217667275108397,5.558912188746035,49.01290599981918,5.7828192906454206,50.98709400018082,1.7105186749249697,3.4108375115320086,2.371981779113412,0,7.584083999999999,2.8686517318710685,14.378106567553525,0.11539667099714279,7.026084,0.0,4.657067455351353,2.491314936429262,5.600505713373423,2.024905137717724,0.0,9.199173231609166,1.241628778167069,0.75777667760849,8.96639550011605,1.1238590769230767,1.0834405714285713,1.171014,1.8327949307858944,4.816843333654106,4.565768964588642,14.610167999999998,11.341731479391456
6,3,3,46.15384615384615,50.0,42.857142857142854,0.5733619999999995,AVERAGE,0.5,4,2,9,5,3,1,4,0,5,4,0,14,0,1,6,5,7,11,1,2,13,1.4615384615384615,0.8333333333333334,2.0,2,6,5,19,AWAY_VULNERABLE,Bundesliga,6,7,13,2025-12-08T19:17:14.934806,2025/2026,SP_VULNERABLE,26.08838972356805,22,22,17,45,44,0,73,106,13,Borussia M.Gladbach,Borussia_M.Gladbach,SLOW_STARTER,3.3788698064163327,1.299041634425521,6.755376460030675,44.693325205080356,8.359579585492611,55.30667479491965,2.0774650191888213,3.6143458895385265,4.745233695954084,0,6.662436,2.603189595043659,22.35447986907695,0.1408652365207672,12.910926,0.0,1.0318567641079426,2.589847114868462,8.26079586148262,2.1775463670492172,5.6574116963893175,13.057937213219702,2.3533821860328317,1.51555335521698,13.368653366342187,1.5056432307692307,1.110406,1.844418,2.399912403896451,5.143967235460877,3.995422251522541,19.573362,15.114956045523286
2,0,2,15.384615384615385,0.0,33.33333333333333,-8.982324000000002,AVERAGE,0.5,6,2,10,10,2,6,4,0,20,2,3,9,1,8,8,6,6,22,7,2,17,2.230769230769231,2.857142857142857,1.5,0,5,5,29,HOME_FORTRESS,Bundesliga,7,6,13,2025-12-08T19:17:15.665876,2025/2026,SP_SOLID,15.753894248418662,19,18,17,32,24,0,50,88,11,Eintracht Frankfurt,Eintracht_Frankfurt,CONSISTENT,2.446929907426238,2.683418571949005,6.81788487220183,45.975627386098495,8.01146115269512,54.024372613901505,1.687536392826587,5.2396387523040175,2.771822400391102,0,12.717672,2.5524596935138106,16.500592159074944,0.3013116717338562,7.300004,0.0,0.7641122471541166,4.9921743352897465,4.317068146541715,5.447714699432254,4.579777923412621,15.41862776177004,1.7072377023287117,1.51555335521698,14.573394163511693,1.5398212307692307,1.8168102857142858,1.2166673333333333,0.31289486959576607,3.166666234843433,3.8202154859900475,20.017675999999998,14.82934602489695
2,2,0,15.384615384615385,28.57142857142857,0.0,1.4681069999999963,LEAKY,0.3,1,2,6,10,3,7,3,0,11,6,2,10,4,2,10,3,2,9,2,3,12,1.6153846153846154,1.5714285714285714,1.6666666666666667,1,9,7,21,HOME_FORTRESS,Bundesliga,7,6,13,2025-12-08T19:17:16.407126,2025/2026,SP_SOLID,24.31872367560958,19,22,34,38,24,0,57,113,13,FC Cologne,FC_Cologne,CONSISTENT,2.8870366690680385,3.038774000480771,9.53113885037601,49.53563478248979,9.709835636429489,50.464365217510206,3.6053281808272004,6.983251607976854,2.726584028452635,0,14.424510000000001,3.992636488750577,15.004628123423917,0.1909085176885128,8.043597,0.0,4.616160960868001,1.0427616713568568,12.055360168218613,2.8358143139630556,2.9283768981695175,14.737702083773911,1.6641026735305786,3.03110671043396,15.75779337156564,1.7283159230769227,2.060644285714286,1.3405995,1.5261202119290829,5.709665218368173,6.056577967479825,22.468106999999996,19.2409744868055
